Date,Close,High,Low,Open,Volume
5/18/2015,10.71649456,10.71649456,10.13899498,10.71649456,2197500
5/19/2015,11.19278049,11.40115696,10.66886359,10.66886359,1978700
5/20/2015,11.07966995,11.21660273,10.93082968,11.13325254,717600
5/21/2015,10.86533833,11.10943625,10.72840557,11.0737149,793000
5/22/2015,10.84151649,10.95463533,10.74625889,10.86533146,536200
5/26/2015,10.85938072,10.98440708,10.78198432,10.86533447,681400
5/27/2015,11.16468906,11.19462189,10.77557144,10.89530046,652700
5/28/2015,11.08686829,11.19462421,10.96713923,11.03299033,949800
5/29/2015,11.04496193,11.07489362,10.84142325,10.97312428,565500
6/1/2015,11.06291962,11.07489275,10.92523203,10.97312342,1014500
6/2/2015,11.17666626,11.19462596,10.97312752,10.97312752,922000
6/3/2015,11.33230591,11.34427904,11.08087594,11.19461837,1165000
6/4/2015,11.32033539,11.33230852,11.2125795,11.32033539,928000
6/5/2015,11.29041004,11.31435517,11.15272125,11.30238204,711900
6/8/2015,11.29639149,11.31435004,11.15271619,11.19462215,787200
6/9/2015,11.31434917,11.33230887,11.26645779,11.31434917,959300
6/10/2015,11.29041004,11.33830145,11.28442347,11.31435517,1091800
6/11/2015,11.29041004,11.31435517,11.27245034,11.29041004,860800
6/12/2015,11.20060539,11.29040272,11.17067371,11.24251134,911600
6/15/2015,11.25448513,11.28741067,11.12278411,11.18264863,776300
6/16/2015,11.30836487,11.3382977,11.14673214,11.24850149,1251100
6/17/2015,11.39217663,11.3981632,11.26047444,11.26646101,1459800
6/18/2015,11.43407726,11.49394177,11.34428107,11.36822619,998200
6/19/2015,11.28441811,11.43407882,11.27244497,11.42210569,440600
6/22/2015,11.18863678,11.3682292,11.18863678,11.28441956,646200
6/23/2015,11.23054218,11.37421636,10.99707179,11.04496318,972200
6/24/2015,11.37421322,11.51788735,11.14433392,11.21856595,742700
6/25/2015,11.34428596,11.45802732,11.3203397,11.37421766,1194200
6/26/2015,11.53084564,11.70537361,11.40446427,11.45862804,8790200
6/29/2015,11.3503046,11.53686814,11.3503046,11.44659553,722900
6/30/2015,11.35631657,11.53686167,11.34427992,11.49473456,490900
7/1/2015,11.37436771,11.40445932,11.30816847,11.3563139,652200
7/2/2015,11.32622814,11.40747381,11.32622814,11.37437359,341500
7/6/2015,11.31419277,11.36835655,11.22392018,11.27808397,422500
7/7/2015,11.21188164,11.41048176,11.19382781,11.27206374,448500
7/8/2015,11.19382477,11.29613396,11.10355222,11.21789691,423000
7/9/2015,11.24197197,11.27206244,11.11558946,11.27206244,353900
7/10/2015,11.42251682,11.42853515,11.18178961,11.22391673,700700
7/13/2015,11.29012203,11.40446794,11.22392159,11.36835798,340900
7/14/2015,11.40446758,11.42853974,11.26003005,11.32021216,463100
7/15/2015,11.40446758,11.41650309,11.30215833,11.35632212,510500
7/16/2015,11.40446758,11.43455807,11.35030379,11.35632212,781300
7/17/2015,11.39242554,11.40446218,11.30817131,11.37437057,513000
7/20/2015,11.21188164,11.38640961,11.19984614,11.38640961,373800
7/21/2015,11.03133011,11.21789347,10.84476674,11.15169424,739000
7/22/2015,10.97115517,11.0734644,10.89893756,11.02531894,386800
7/23/2015,10.73042583,11.03133514,10.67024374,11.00124467,704800
7/24/2015,10.56191444,10.80865994,10.43553311,10.76653283,590200
7/27/2015,10.57395458,10.68228213,10.47164536,10.50173698,655500
7/28/2015,10.77857208,10.79060873,10.45960778,10.53182652,734800
7/29/2015,10.87540531,10.97223688,10.60911908,10.60911908,656800
7/30/2015,10.90566349,10.98433869,10.69989617,10.80277983,1000400
7/31/2015,10.97829056,11.0448627,10.8875111,10.95408324,316200
8/3/2015,10.99644852,11.04486431,10.9419806,11.01460487,308200
8/4/2015,10.90566349,11.04485869,10.89961137,10.95407926,341700
8/5/2015,10.94802856,11.04486012,10.9056649,10.97828799,485100
8/6/2015,10.84514713,10.9903945,10.75436767,10.8875108,814600
8/7/2015,10.94802856,10.99644434,10.77252064,10.77252064,384400
8/10/2015,10.86330128,10.99644438,10.79672915,10.92987225,445500
8/11/2015,10.87540531,10.9238211,10.60306696,10.79067798,521400
8/12/2015,10.85724735,11.03880621,10.62121946,10.79672735,1342900
8/13/2015,10.76647377,10.82094053,10.6938495,10.75436953,539300
8/14/2015,10.87540531,10.89356166,10.65148275,10.71200276,781100
8/17/2015,10.95407677,11.01459676,10.79672525,10.80277737,681500
8/18/2015,10.87540531,10.98434111,10.83304165,10.89961378,515500
8/19/2015,10.84514713,10.90566716,10.77857499,10.90566716,550700
8/20/2015,10.78462601,10.89356181,10.77857389,10.82698967,781900
8/21/2015,10.48203087,10.82094148,10.43361507,10.73621412,615900
8/24/2015,10.05233574,10.28836251,8.363833338,10.11890671,914300
8/25/2015,9.91313839,10.33677727,9.91313839,10.19758206,557900
8/26/2015,10.2641573,10.28836577,9.846571516,10.02813045,600100
